laptop_ID,Company,Product,TypeName,Inches,Ram,OpSys,Weight,Price_euros,is_Full HD,is_IPS Panel,is_Retina Display,is_Touchscreen,is_Quad HD+,is_4K Ultra HD,ScreenSize,ssd_gb,hdd_gb,flash_gb,hybrid_gb,Cpu_Company,Cpu_Frequency_GHz,Cpu_Type,Gpu_Company,is_Intel_Gpu,Gpu_Type
1,Apple,MacBook Pro,Ultrabook,13.3,8.0,macOS,1.37,7.200939685789514,0,1,1,0,0,0,4096000,128,0,0,0,Intel,2.3,Intel i5,Intel,1,Intel Graphics
2,Apple,Macbook Air,Ultrabook,13.3,8.0,macOS,1.34,6.802328094435323,0,0,0,0,0,0,1296000,0,0,128,0,Intel,1.8,Intel i5,Intel,1,Intel Graphics
3,HP,250 G6,Notebook,15.6,8.0,No OS,1.86,6.3561076606958915,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.5,Intel i5,Intel,1,Intel Graphics
4,Apple,MacBook Pro,Ultrabook,15.4,16.0,macOS,1.83,7.839308937522205,0,1,1,0,0,0,5184000,512,0,0,0,Intel,2.7,Intel i7,AMD,0,AMD Radeon
5,Apple,MacBook Pro,Ultrabook,13.3,8.0,macOS,1.37,7.4980942395604,0,1,1,0,0,0,4096000,256,0,0,0,Intel,3.1,Intel i5,Intel,1,Intel Graphics
6,Acer,Aspire 3,Notebook,15.6,4.0,Windows 10,2.1,5.993961427306569,0,0,0,0,0,0,1049088,0,500,0,0,AMD,3.0,AMD A-Series,AMD,0,AMD Radeon
7,Apple,MacBook Pro,Ultrabook,15.4,16.0,Mac OS X,2.04,7.669014276347654,0,1,1,0,0,0,5184000,0,0,256,0,Intel,2.2,Intel i7,Intel,1,Intel Graphics
8,Apple,Macbook Air,Ultrabook,13.3,8.0,macOS,1.34,7.055916629962658,0,0,0,0,0,0,1296000,0,0,256,0,Intel,1.8,Intel i5,Intel,1,Intel Graphics
9,Asus,ZenBook UX430UN,Ultrabook,14.0,16.0,Windows 10,1.3,7.310550158534422,1,0,0,0,0,0,2073600,512,0,0,0,Intel,1.8,Intel i7,Nvidia,0,Nvidia GeForce
10,Acer,Swift 3,Ultrabook,14.0,8.0,Windows 10,1.6,6.647688373563329,1,1,0,0,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
11,HP,250 G6,Notebook,15.6,4.0,No OS,1.86,5.978632568292603,0,0,0,0,0,0,1049088,0,500,0,0,Intel,2.5,Intel i5,Intel,1,Intel Graphics
12,HP,250 G6,Notebook,15.6,4.0,No OS,1.86,5.846409872905957,1,0,0,0,0,0,2073600,0,500,0,0,Intel,2.0,Intel i3,Intel,1,Intel Graphics
13,Apple,MacBook Pro,Ultrabook,15.4,16.0,macOS,1.83,7.800150780272373,0,1,1,0,0,0,5184000,256,0,0,0,Intel,2.8,Intel i7,AMD,0,AMD Radeon
14,Dell,Inspiron 3567,Notebook,15.6,4.0,Windows 10,2.2,6.214408078419525,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.0,Intel i3,AMD,0,AMD Radeon
15,Apple,"MacBook 12""",Ultrabook,12.0,8.0,macOS,0.92,7.1415617784646,0,1,1,0,0,0,3317760,256,0,0,0,Intel,1.2,Intel Other,Intel,1,Intel Graphics
16,Apple,MacBook Pro,Ultrabook,13.3,8.0,macOS,1.37,7.326169517376512,0,1,1,0,0,0,4096000,256,0,0,0,Intel,2.3,Intel i5,Intel,1,Intel Graphics
17,Dell,Inspiron 3567,Notebook,15.6,8.0,Windows 10,2.2,6.61472560020376,1,0,0,0,0,0,2073600,256,0,0,0,Intel,2.7,Intel i7,AMD,0,AMD Radeon
18,Apple,MacBook Pro,Ultrabook,15.4,16.0,macOS,1.83,7.958227192322312,0,1,1,0,0,0,5184000,512,0,0,0,Intel,2.9,Intel i7,AMD,0,AMD Radeon
19,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,8.0,No OS,2.2,6.214608098422191,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,2.4,Intel i3,Nvidia,0,Nvidia GeForce
20,Dell,XPS 13,Ultrabook,13.3,8.0,Windows 10,1.22,6.887552571664617,1,1,0,1,0,0,2073600,128,0,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
21,Asus,Vivobook E200HA,Netbook,11.6,2.0,Windows 10,0.98,5.262171919911683,0,0,0,0,0,0,1049088,0,0,32,0,Intel,1.44,Intel Other,Intel,1,Intel Graphics
22,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8.0,Windows 10,2.5,6.907755278982137,1,1,0,0,0,0,2073600,128,1024,0,0,Intel,2.5,Intel i5,Nvidia,0,Nvidia GeForce
23,HP,255 G6,Notebook,15.6,4.0,No OS,1.86,5.556828061699537,0,0,0,0,0,0,1049088,0,500,0,0,AMD,1.5,AMD Other,AMD,0,AMD Radeon
24,Dell,Inspiron 5379,2 in 1 Convertible,13.3,8.0,Windows 10,1.62,6.709304340258298,1,0,0,1,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
25,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,8.0,Windows 10,1.91,6.492239835020471,1,0,0,0,0,0,2073600,256,0,0,0,Intel,1.8,Intel i7,Intel,1,Intel Graphics
26,Dell,Inspiron 3567,Notebook,15.6,4.0,Windows 10,2.3,6.039397200863284,0,0,0,0,0,0,1049088,0,1024,0,0,Intel,2.0,Intel i3,Intel,1,Intel Graphics
27,Apple,MacBook Air,Ultrabook,13.3,8.0,Mac OS X,1.35,7.003065458786462,0,0,0,0,0,0,1296000,0,0,128,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
28,Dell,Inspiron 5570,Notebook,15.6,8.0,Windows 10,2.2,6.68586094706836,1,0,0,0,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,AMD,0,AMD Radeon
29,Dell,Latitude 5590,Ultrabook,15.6,8.0,Windows 10,1.88,7.1693500166706,1,0,0,0,0,0,2073600,512,0,0,0,Intel,1.9,Intel i7,Intel,1,Intel Graphics
30,HP,ProBook 470,Notebook,17.3,8.0,Windows 10,2.5,6.799055862058796,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,1.6,Intel i5,Nvidia,0,Nvidia GeForce
31,Chuwi,"LapBook 15.6""",Notebook,15.6,4.0,Windows 10,1.89,5.505290884699608,1,0,0,0,0,0,2073600,0,0,64,0,Intel,1.44,Intel Other,Intel,1,Intel Graphics
32,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,2.0,Windows 10,1.65,5.298317366548036,0,0,0,0,0,0,1049088,0,0,32,0,AMD,1.5,AMD Other,AMD,0,AMD Radeon
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,4.0,Windows 10,2.71,6.0867747269123065,1,0,0,0,0,0,2073600,0,500,0,0,AMD,2.5,AMD A-Series,AMD,0,AMD Radeon
34,Dell,XPS 13,Ultrabook,13.3,16.0,Windows 10,1.2,7.533693709848633,0,0,0,1,1,0,5760000,512,0,0,0,Intel,1.8,Intel i7,Intel,1,Intel Graphics
35,Apple,MacBook Air,Ultrabook,13.3,8.0,Mac OS X,1.35,6.906754778648554,0,0,0,0,0,0,1296000,0,0,256,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
36,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,4.0,Windows 10,1.44,5.521460917862246,0,0,0,0,0,0,1049088,0,0,64,0,Intel,1.1,Intel Celeron,Intel,1,Intel Graphics
37,Acer,Aspire 3,Notebook,15.6,4.0,Linux,2.1,5.908082938168931,0,0,0,0,0,0,1049088,0,1024,0,0,Intel,2.7,Intel i3,Intel,1,Intel Graphics
38,Dell,Inspiron 5770,Notebook,17.3,8.0,Windows 10,2.8,6.887552571664617,1,1,0,0,0,0,2073600,128,1024,0,0,Intel,1.6,Intel i5,AMD,0,AMD Radeon
39,HP,250 G6,Notebook,15.6,4.0,Windows 10,1.86,6.193772537834054,0,0,0,0,0,0,1049088,0,1024,0,0,Intel,2.5,Intel i5,Intel,1,Intel Graphics
40,HP,ProBook 450,Notebook,15.6,8.0,Windows 10,2.1,6.779921907472252,1,0,0,0,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,Nvidia,0,Nvidia GeForce
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,4.0,Linux,2.0,5.966146739123692,1,0,0,0,0,0,2073600,0,1024,0,0,Intel,2.0,Intel i3,Intel,1,Intel Graphics
42,Dell,Inspiron 7577,Gaming,15.6,16.0,Windows 10,2.65,7.313220387090301,1,1,0,0,0,0,2073600,256,1024,0,0,Intel,2.8,Intel i7,Nvidia,0,Nvidia GeForce
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,8.0,Linux,2.3,6.261472600169475,0,0,0,0,0,0,1049088,0,1024,0,0,Intel,2.5,Intel i5,Nvidia,0,Nvidia GeForce
44,Acer,Aspire A515-51G,Notebook,15.6,4.0,Windows 10,2.2,6.52649485957079,1,1,0,0,0,0,2073600,256,0,0,0,Intel,1.6,Intel i5,Intel,1,Intel Graphics
45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,12.0,Windows 10,2.77,6.907755278982137,1,0,0,1,0,0,2073600,0,1024,0,0,Intel,1.6,Intel i5,Nvidia,0,Nvidia GeForce
